epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.118,2.30655,2.4215,1.75879,0.31682,0.28146,0.16808,0.05679,2.49206,3.08042,2.01445,0.067066,0.000332667,0.000332667
2,740.458,2.21276,2.1083,1.69288,0.31435,0.22864,0.13349,0.0456,2.48654,3.3423,1.9888,0.0340594,0.000659407,0.000659407
3,1068.41,2.17541,2.03221,1.67626,0.27967,0.41928,0.21941,0.07387,2.37835,2.36004,1.89714,0.00104621,0.000979547,0.000979547
4,1376.19,2.14764,1.96746,1.63975,0.2518,0.42048,0.23466,0.08158,2.36406,2.39369,1.82245,0.0009703,0.0009703,0.0009703
5,1684.48,2.13157,1.94263,1.63273,0.30651,0.42384,0.25644,0.09479,2.32749,2.39171,1.83868,0.0009604,0.0009604,0.0009604
6,1990.39,2.10551,1.89459,1.61101,0.30673,0.44331,0.27763,0.09629,2.26739,2.15869,1.76748,0.0009505,0.0009505,0.0009505
7,2296.11,2.07475,1.85533,1.58677,0.32833,0.46822,0.29179,0.10204,2.25115,2.18219,1.77818,0.0009406,0.0009406,0.0009406
8,2602.55,2.06515,1.84499,1.57546,0.3449,0.41663,0.29984,0.10498,2.24557,2.10725,1.79587,0.0009307,0.0009307,0.0009307
9,2905.93,2.05368,1.80454,1.57762,0.31178,0.46979,0.2846,0.10105,2.28413,2.10863,1.84056,0.0009208,0.0009208,0.0009208
10,3213.14,2.03802,1.79121,1.56749,0.35088,0.41134,0.31375,0.11492,2.20103,2.08525,1.73574,0.0009109,0.0009109,0.0009109
11,3518.9,2.01862,1.76133,1.54446,0.34391,0.4668,0.33062,0.12235,2.22216,2.07949,1.75642,0.000901,0.000901,0.000901
12,3847.97,2.02331,1.75273,1.54697,0.33057,0.45075,0.29731,0.10858,2.24524,2.08501,1.77409,0.0008911,0.0008911,0.0008911
13,4199.14,2.00718,1.75206,1.53801,0.34216,0.46745,0.323,0.11695,2.18325,2.07852,1.72283,0.0008812,0.0008812,0.0008812
14,4518.15,1.98492,1.71435,1.5158,0.36909,0.4716,0.35325,0.12896,2.18735,2.03055,1.73844,0.0008713,0.0008713,0.0008713
15,4839.59,1.98705,1.73482,1.52628,0.3375,0.42092,0.31057,0.11604,2.16993,2.00943,1.71849,0.0008614,0.0008614,0.0008614
